index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
62,_background_noise__white_noise,silence,silence,1,silence,1,122;-127;-125;-126,4002;17;44;31,,8.191,21.382,0,0,"[IRQ] Class: 0 scores=4002,17,44,31"
63,no_a1cff772_nohash_1,no,no,1,no,1,-128;-127;-128;127,0;21;0;4074,,7.813,21.397,0,0,"[IRQ] Class: 3 scores=0,21,0,4074"
64,no_01648c51_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;31;0;4064,,7.572,21.435,0,0,"[IRQ] Class: 3 scores=0,31,0,4064"
65,yes_a9ca1818_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;6;4089;0,,7.998,21.388,0,0,"[IRQ] Class: 2 scores=0,6,4089,0"
66,no_39833acb_nohash_2,unknown,unknown,1,no,0,-128;38;-126;-41,0;2660;35;1399,,8.077,21.380,0,0,"[IRQ] Class: 1 scores=0,2660,35,1399"
67,go_ee1d8d49_nohash_3,unknown,unknown,1,unknown,1,-128;22;-126;-24,0;2401;29;1664,,7.500,21.439,0,0,"[IRQ] Class: 1 scores=0,2401,29,1664"
68,no_c39703ec_nohash_1,no,no,1,no,1,-126;-122;-107;99,37;92;334;3632,,7.789,21.386,0,0,"[IRQ] Class: 3 scores=37,92,334,3632"
69,yes_db72a474_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,0;11;4077;6,,7.960,21.402,0,0,"[IRQ] Class: 2 scores=0,11,4077,6"
70,go_27c24504_nohash_3,no,no,1,unknown,0,-128;-96;-124;92,0;513;61;3520,,8.018,21.397,0,0,"[IRQ] Class: 3 scores=0,513,61,3520"
71,no_0132a06d_nohash_4,no,no,1,no,1,-128;-80;-128;80,0;766;4;3324,,16.853,28.548,0,0,"[IRQ] Class: 3 scores=0,766,4,3324"
72,go_173ae793_nohash_1,no,no,1,unknown,0,-128;-110;-128;110,0;291;0;3803,,7.909,21.416,0,0,"[IRQ] Class: 3 scores=0,291,0,3803"
73,go_c1d39ce8_nohash_8,no,no,1,unknown,0,-128;-118;-112;102,0;162;256;3676,,7.955,21.381,0,0,"[IRQ] Class: 3 scores=0,162,256,3676"
74,no_37dca74f_nohash_0,no,no,1,no,1,-128;-113;-127;112,0;244;15;3835,,7.996,21.395,0,0,"[IRQ] Class: 3 scores=0,244,15,3835"
75,yes_51f7a034_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4089;4,,8.176,21.377,0,0,"[IRQ] Class: 2 scores=0,1,4089,4"
76,go_d394ef8e_nohash_1,unknown,unknown,1,unknown,1,-128;44;-127;-45,0;2759;12;1324,,7.461,21.498,0,0,"[IRQ] Class: 1 scores=0,2759,12,1324"
77,go_fb8c31a9_nohash_1,no,no,1,unknown,0,-128;-114;-124;110,0;221;61;3813,,8.051,21.370,0,0,"[IRQ] Class: 3 scores=0,221,61,3813"
78,no_538e1856_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;31;0;4064,,7.946,21.366,0,0,"[IRQ] Class: 3 scores=0,31,0,4064"
79,go_2da58b32_nohash_3,no,no,1,unknown,0,-128;-125;-127;124,0;54;12;4029,,7.935,21.456,0,0,"[IRQ] Class: 3 scores=0,54,12,4029"
80,yes_2fcb6397_nohash_2,yes,yes,1,yes,1,-128;-128;110;-110,0;0;3803;291,,8.212,21.374,0,0,"[IRQ] Class: 2 scores=0,0,3803,291"
81,no_a97017df_nohash_1,no,no,1,no,1,-128;-124;-128;124,0;70;0;4025,,7.920,21.401,0,0,"[IRQ] Class: 3 scores=0,70,0,4025"
82,go_6565a81d_nohash_3,no,no,1,unknown,0,-128;-80;-128;80,0;766;4;3324,,8.070,21.410,0,0,"[IRQ] Class: 3 scores=0,766,4,3324"
83,yes_41285056_nohash_2,yes,yes,1,yes,1,-128;-126;122;-124,0;31;4000;64,,8.037,21.384,0,0,"[IRQ] Class: 2 scores=0,31,4000,64"
84,go_eaa83485_nohash_4,no,no,1,unknown,0,-128;-108;-128;108,0;317;0;3778,,19.489,26.140,0,0,"[IRQ] Class: 3 scores=0,317,0,3778"
85,no_c33682f0_nohash_0,no,no,1,no,1,-128;-120;-128;120,0;133;0;3961,,7.930,21.388,0,0,"[IRQ] Class: 3 scores=0,133,0,3961"
86,yes_52162b51_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,8.312,21.410,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
87,yes_9b8a7439_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4095;0,,8.155,21.388,0,0,"[IRQ] Class: 2 scores=0,0,4095,0"
88,yes_c2dccf38_nohash_4,yes,yes,1,yes,1,-128;-125;124;-126,0;41;4026;28,,7.827,21.379,0,0,"[IRQ] Class: 2 scores=0,41,4026,28"
89,yes_cfbedff9_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4094;0,,7.923,21.406,0,0,"[IRQ] Class: 2 scores=0,0,4094,0"
90,yes_e7bcee8a_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4096;0,,7.985,21.376,0,0,"[IRQ] Class: 2 scores=0,0,4096,0"
91,yes_72242187_nohash_0,yes,yes,1,yes,1,-128;-127;119;-120,0;16;3945;132,,8.172,21.384,0,0,"[IRQ] Class: 2 scores=0,16,3945,132"
92,no_6794a793_nohash_0,no,no,1,no,1,-128;-78;-118;68,0;792;166;3136,,8.199,21.421,0,0,"[IRQ] Class: 3 scores=0,792,166,3136"
93,yes_35d1b6ee_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4093;1,,8.135,21.404,0,0,"[IRQ] Class: 2 scores=0,0,4093,1"
94,go_617de221_nohash_1,unknown,unknown,1,unknown,1,-128;22;-126;-24,0;2404;24;1666,,9.680,21.390,0,0,"[IRQ] Class: 1 scores=0,2404,24,1666"
95,no_3cc595de_nohash_0,no,no,1,no,1,-128;-107;-65;44,0;334;1004;2756,,22.143,21.376,0,0,"[IRQ] Class: 3 scores=0,334,1004,2756"
96,go_890cc926_nohash_2,no,no,1,unknown,0,-128;-121;-124;117,0;109;68;3918,,8.140,21.391,0,0,"[IRQ] Class: 3 scores=0,109,68,3918"
97,go_f2e59fea_nohash_3,unknown,unknown,1,unknown,1,-128;103;-126;-105,0;3692;31;372,,8.019,21.400,0,0,"[IRQ] Class: 1 scores=0,3692,31,372"
98,no_a4ca3afe_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;17;0;4078,,7.690,21.372,0,0,"[IRQ] Class: 3 scores=0,17,0,4078"
99,_background_noise__pink_noise,silence,silence,1,silence,1,107;-120;-125;-118,3753;126;50;165,,7.958,21.381,0,0,"[IRQ] Class: 0 scores=3753,126,50,165"
100,yes_b25b6065_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4093;1,,8.238,21.382,0,0,"[IRQ] Class: 2 scores=0,0,4093,1"
101,no_b59fa113_nohash_1,yes,yes,1,no,0,-128;-103;63;-88,1;404;3048;640,,7.841,21.374,0,0,"[IRQ] Class: 2 scores=1,404,3048,640"
102,yes_611d2b50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4094;0,,8.286,21.389,0,0,"[IRQ] Class: 2 scores=0,1,4094,0"
103,no_3a3ee7ed_nohash_1,no,no,1,no,1,-128;-109;-118;99,0;304;160;3630,,8.062,21.370,0,0,"[IRQ] Class: 3 scores=0,304,160,3630"
104,go_96d8bb6f_nohash_3,unknown,unknown,1,unknown,1,-128;29;-128;-29,1;2504;7;1582,,7.983,21.381,0,0,"[IRQ] Class: 1 scores=1,2504,7,1582"
105,yes_879a2b38_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4092;1,,7.913,21.365,0,0,"[IRQ] Class: 2 scores=0,1,4092,1"
106,no_27c24504_nohash_2,no,no,1,no,1,-128;-113;-127;112,1;244;11;3838,,7.971,21.367,0,0,"[IRQ] Class: 3 scores=1,244,11,3838"
107,no_06a79a03_nohash_0,no,no,1,no,1,-128;-111;-128;111,0;267;0;3828,,7.861,21.430,0,0,"[IRQ] Class: 3 scores=0,267,0,3828"
108,yes_0717b9f6_nohash_0,yes,yes,1,yes,1,-128;-124;122;-126,0;64;3999;31,,8.092,21.361,0,0,"[IRQ] Class: 2 scores=0,64,3999,31"
109,yes_363c6bad_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4094;0,,7.977,21.406,0,0,"[IRQ] Class: 2 scores=0,0,4094,0"
110,no_94d370bf_nohash_1,no,no,1,no,1,-128;-124;-127;123,0;64;19;4011,,8.094,21.383,0,0,"[IRQ] Class: 3 scores=0,64,19,4011"
111,go_3589bc72_nohash_4,unknown,unknown,1,unknown,1,-128;99;-127;-100,6;3628;21;440,,7.719,21.385,0,0,"[IRQ] Class: 1 scores=6,3628,21,440"
112,go_1ed0b13d_nohash_0,no,no,1,unknown,0,-128;-80;-128;80,0;767;0;3328,,7.976,21.363,0,0,"[IRQ] Class: 3 scores=0,767,0,3328"
113,yes_5f8097e1_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;6;4087;1,,7.783,21.403,0,0,"[IRQ] Class: 2 scores=0,6,4087,1"
114,yes_7fb8d703_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;3;4092;0,,7.991,21.379,0,0,"[IRQ] Class: 2 scores=0,3,4092,0"
115,go_bdd22e4d_nohash_4,no,no,1,unknown,0,-127;-103;-125;99,12;402;44;3636,,23.333,21.385,0,0,"[IRQ] Class: 3 scores=12,402,44,3636"
116,no_54b6d355_nohash_0,no,no,1,no,1,-128;-95;-128;95,0;520;2;3572,,7.993,21.398,0,0,"[IRQ] Class: 3 scores=0,520,2,3572"
117,no_a4baac4e_nohash_2,no,no,1,no,1,-128;-125;-128;125,0;49;1;4044,,7.794,21.399,0,0,"[IRQ] Class: 3 scores=0,49,1,4044"
118,go_3bdf05d3_nohash_0,no,no,1,unknown,0,-128;-77;-127;76,0;823;13;3258,,8.228,21.387,0,0,"[IRQ] Class: 3 scores=0,823,13,3258"
119,yes_0d82fd99_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;2;4093;0,,23.041,21.421,0,0,"[IRQ] Class: 2 scores=0,2,4093,0"
120,yes_b414c653_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4090;4,,8.204,21.403,0,0,"[IRQ] Class: 2 scores=0,0,4090,4"
121,yes_1496195a_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4093;1,,7.936,21.421,0,0,"[IRQ] Class: 2 scores=0,0,4093,1"
122,go_322d17d3_nohash_0,no,no,1,unknown,0,-128;-111;-128;111,0;267;0;3828,,7.746,21.393,0,0,"[IRQ] Class: 3 scores=0,267,0,3828"
123,no_18d120ae_nohash_0,no,no,1,no,1,-128;-94;-118;84,0;541;163;3390,,7.997,21.421,0,0,"[IRQ] Class: 3 scores=0,541,163,3390"
124,yes_58df33b5_nohash_1,yes,yes,1,yes,1,-128;-127;126;-128,1;21;4066;5,,7.927,21.394,0,0,"[IRQ] Class: 2 scores=1,21,4066,5"
125,yes_72aa7259_nohash_0,yes,yes,1,yes,1,-128;-122;116;-122,0;98;3897;98,,9.178,21.372,0,0,"[IRQ] Class: 2 scores=0,98,3897,98"
126,_background_noise__running_tap,silence,silence,1,silence,1,121;-125;-125;-126,3975;48;40;31,,22.888,21.395,0,0,"[IRQ] Class: 0 scores=3975,48,40,31"
127,no_29229c21_nohash_3,no,no,1,no,1,-127;-101;-126;98,11;437;37;3609,,7.662,21.420,0,0,"[IRQ] Class: 3 scores=11,437,37,3609"
128,go_274c008f_nohash_0,unknown,unknown,1,unknown,1,-126;-2;-126;-2,32;2012;38;2012,,8.018,21.403,0,0,"[IRQ] Class: 1 scores=32,2012,38,2012"
129,no_712e4d58_nohash_0,no,no,1,no,1,-128;-128;-128;127,0;5;0;4090,,8.129,21.482,0,0,"[IRQ] Class: 3 scores=0,5,0,4090"
130,go_1365dd89_nohash_0,no,no,1,unknown,0,-128;-87;-127;86,2;655;21;3416,,22.602,21.410,0,0,"[IRQ] Class: 3 scores=2,655,21,3416"
131,no_b65f6015_nohash_0,no,no,1,no,1,-128;-125;-128;125,0;45;1;4048,,8.242,21.414,0,0,"[IRQ] Class: 3 scores=0,45,1,4048"
132,yes_e91d173e_nohash_1,yes,yes,1,yes,1,-128;-125;124;-128,0;54;4037;3,,8.063,21.453,0,0,"[IRQ] Class: 2 scores=0,54,4037,3"
133,no_499be02e_nohash_4,no,no,1,no,1,-128;-114;-114;99,0;231;231;3633,,8.160,21.399,0,0,"[IRQ] Class: 3 scores=0,231,231,3633"
134,no_bde0f20a_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;28;0;4067,,8.063,21.406,0,0,"[IRQ] Class: 3 scores=0,28,0,4067"
135,go_e6be0830_nohash_4,no,no,1,unknown,0,-128;-68;-128;68,0;953;1;3141,,8.049,21.368,0,0,"[IRQ] Class: 3 scores=0,953,1,3141"
136,go_0e5193e6_nohash_0,unknown,unknown,1,unknown,1,-126;32;-127;-36,37;2562;18;1477,,8.096,21.451,0,0,"[IRQ] Class: 1 scores=37,2562,18,1477"
137,_background_noise__exercise_bike,silence,silence,1,silence,1,80;-107;-126;-103,3323;335;34;403,,8.295,21.404,0,0,"[IRQ] Class: 0 scores=3323,335,34,403"
138,yes_73f20b00_nohash_3,yes,yes,1,yes,1,-128;-126;125;-128,0;34;4054;6,,8.041,21.375,0,0,"[IRQ] Class: 2 scores=0,34,4054,6"
139,_background_noise__dude_miaowing,silence,silence,1,silence,1,116;-121;-124;-127,3906;119;57;13,,7.890,21.377,0,0,"[IRQ] Class: 0 scores=3906,119,57,13"
140,go_5677ec77_nohash_0,no,no,1,unknown,0,-128;-118;-127;118,0;158;8;3929,,8.157,21.393,0,0,"[IRQ] Class: 3 scores=0,158,8,3929"
141,go_24befdb3_nohash_3,no,no,1,unknown,0,-128;-100;-128;100,0;443;0;3652,,7.992,21.397,0,0,"[IRQ] Class: 3 scores=0,443,0,3652"
142,go_b0ae6326_nohash_2,no,no,1,unknown,0,-128;-121;-128;121,0;110;0;3984,,7.825,21.424,0,0,"[IRQ] Class: 3 scores=0,110,0,3984"
143,go_31270cb2_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,0;520;3;3571,,7.872,21.379,0,0,"[IRQ] Class: 3 scores=0,520,3,3571"
144,yes_8d9cc260_nohash_0,yes,yes,1,yes,1,-128;-127;126;-128,0;21;4071;2,,8.280,21.382,0,0,"[IRQ] Class: 2 scores=0,21,4071,2"
145,go_617de221_nohash_4,no,no,1,unknown,0,-128;-60;-128;60,0;1093;0;3001,,8.113,21.413,0,0,"[IRQ] Class: 3 scores=0,1093,0,3001"
146,yes_cd85758f_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;3;4091;0,,7.746,21.413,0,0,"[IRQ] Class: 2 scores=0,3,4091,0"
147,no_b176f8e9_nohash_0,unknown,unknown,1,no,0,-127;43;-101;-71,10;2738;437;910,,7.984,21.371,0,0,"[IRQ] Class: 1 scores=10,2738,437,910"
148,go_8931f494_nohash_1,no,no,1,unknown,0,-128;-45;-127;45,0;1325;8;2761,,7.753,21.431,0,0,"[IRQ] Class: 3 scores=0,1325,8,2761"
149,go_4c3cddb8_nohash_4,no,no,1,unknown,0,-128;-119;-128;118,0;145;6;3942,,8.215,21.395,0,0,"[IRQ] Class: 3 scores=0,145,6,3942"
150,no_8012c69d_nohash_1,no,no,1,no,1,-128;-119;-128;119,0;145;0;3949,,8.058,21.476,0,0,"[IRQ] Class: 3 scores=0,145,0,3949"
151,yes_bfd26d6b_nohash_4,yes,yes,1,yes,1,-128;-126;126;-128,0;25;4069;0,,7.808,21.401,0,0,"[IRQ] Class: 2 scores=0,25,4069,0"
152,go_7f581e94_nohash_0,unknown,unknown,1,unknown,1,-128;40;-128;-40,1;2680;2;1410,,8.048,21.373,0,0,"[IRQ] Class: 1 scores=1,2680,2,1410"
153,yes_a9ca1818_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;1;4094;0,,7.934,21.403,0,0,"[IRQ] Class: 2 scores=0,1,4094,0"
154,no_7211390b_nohash_3,no,no,1,no,1,-128;-87;-128;87,0;658;3;3433,,7.917,21.403,0,0,"[IRQ] Class: 3 scores=0,658,3,3433"
155,yes_bdd22e4d_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;4091;3,,8.085,21.381,0,0,"[IRQ] Class: 2 scores=0,0,4091,3"
