index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
0,go_f19279c4_nohash_0,no,,0,unknown,0,-128;-107;-121;100,,,,21.496,1,1,
1,no_256c0a05_nohash_0,no,,0,no,0,-128;-127;-128;126,,,,21.383,1,1,
20,yes_f5626af6_nohash_1,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0009;0.9985;0,0.0825,23.735,21.431,0,0,"[IRQ] Class: 2 scores=0.0000,0.0009,0.9985,0.0000"
21,no_3ca784ec_nohash_1,no,no,1,no,1,-128;-126;-128;126,0;0.0061;0;0.9934,0.0725,23.792,21.440,0,0,"[IRQ] Class: 3 scores=0.0000,0.0061,0.0000,0.9934"
22,no_e71a9381_nohash_2,no,no,1,no,1,-128;-126;-128;126,0;0.0061;0;0.9934,0.0725,23.933,21.432,0,0,"[IRQ] Class: 3 scores=0.0000,0.0061,0.0000,0.9934"
23,no_1995cf9e_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;0.0019;0;0.9978,0.0925,23.788,21.413,0,0,"[IRQ] Class: 3 scores=0.0000,0.0019,0.0000,0.9978"
24,no_9712cce0_nohash_0,no,no,1,no,1,-128;-124;-128;124,0;0.017;0;0.9826,0.0800,24.160,21.411,0,0,"[IRQ] Class: 3 scores=0.0000,0.0170,0.0000,0.9826"
25,no_40b60ae9_nohash_0,no,no,1,no,1,-128;-124;-128;124,0;0.017;0;0.9826,0.0800,24.051,21.432,0,0,"[IRQ] Class: 3 scores=0.0000,0.0170,0.0000,0.9826"
26,yes_39afb88e_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.9992;0,0.0825,24.021,21.401,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9992,0.0000"
27,go_8931f494_nohash_0,no,no,1,unknown,0,-128;-12;-128;11,0;0.4533;0.0017;0.5446,0.0875,24.004,21.412,0,0,"[IRQ] Class: 3 scores=0.0000,0.4533,0.0017,0.5446"
28,yes_31fd5cf5_nohash_0,unknown,unknown,1,yes,0,-128;6;-16;-119,0.0007;0.5251;0.437;0.0366,0.1075,23.931,21.554,0,0,"[IRQ] Class: 1 scores=0.0007,0.5251,0.4370,0.0366"
29,no_a8f45bdc_nohash_0,no,no,1,no,1,-128;-128;-128;127,0;0.0014;0;0.9982,0.0875,24.057,21.392,0,0,"[IRQ] Class: 3 scores=0.0000,0.0014,0.0000,0.9982"
30,yes_cc6ee39b_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,24.098,21.418,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
31,go_190821dc_nohash_1,no,no,1,unknown,0,-128;-117;-128;117,0;0.0422;0;0.9575,0.0325,23.478,21.419,0,0,"[IRQ] Class: 3 scores=0.0000,0.0422,0.0000,0.9575"
32,yes_472b8045_nohash_4,yes,yes,1,yes,1,-128;-127;126;-128,0;0.0056;0.9924;0.0014,0.0825,24.077,21.409,0,0,"[IRQ] Class: 2 scores=0.0000,0.0056,0.9924,0.0014"
33,no_1a73dcd1_nohash_2,unknown,unknown,1,no,0,-128;4;-80;-52,0;0.5148;0.1877;0.2968,0.0275,24.085,21.404,0,0,"[IRQ] Class: 1 scores=0.0000,0.5148,0.1877,0.2968"
34,no_6727b579_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;0.0019;0;0.9978,0.0925,23.554,21.394,0,0,"[IRQ] Class: 3 scores=0.0000,0.0019,0.0000,0.9978"
35,no_270bfa52_nohash_1,no,no,1,no,1,-128;-125;-128;125,0;0.0109;0;0.9885,0.0250,24.074,21.425,0,0,"[IRQ] Class: 3 scores=0.0000,0.0109,0.0000,0.9885"
36,go_6adb8ad9_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,0;0.1271;0;0.8725,0.0800,23.898,21.378,0,0,"[IRQ] Class: 3 scores=0.0000,0.1271,0.0000,0.8725"
37,go_cb72dfb6_nohash_3,no,no,1,unknown,0,-128;-56;-125;53,0;0.2639;0.0114;0.7241,0.8675,23.773,21.398,0,0,"[IRQ] Class: 3 scores=0.0000,0.2639,0.0114,0.7241"
38,no_b69002d4_nohash_0,no,no,1,no,1,-128;-30;-126;28,0;0.3842;0.0073;0.6079,0.0850,24.113,21.444,0,0,"[IRQ] Class: 3 scores=0.0000,0.3842,0.0073,0.6079"
39,go_56eab10e_nohash_0,no,no,1,unknown,0,-128;-122;-128;122,0;0.0246;0;0.9748,0.0750,24.001,21.404,0,0,"[IRQ] Class: 3 scores=0.0000,0.0246,0.0000,0.9748"
40,go_d0faf7e4_nohash_3,unknown,unknown,1,unknown,1,-128;45;-127;-45,0;0.674;0.0021;0.3234,0.1100,24.001,21.440,0,0,"[IRQ] Class: 1 scores=0.0000,0.6740,0.0021,0.3234"
41,no_dce05676_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;0.0075;0.0002;0.9916,0.0275,23.941,21.409,0,0,"[IRQ] Class: 3 scores=0.0000,0.0075,0.0002,0.9916"
42,go_bb6d4301_nohash_3,no,no,1,unknown,0,-128;-73;-128;72,0;0.2165;0;0.7829,0.0850,24.051,21.417,0,0,"[IRQ] Class: 3 scores=0.0000,0.2165,0.0000,0.7829"
43,no_1dc86f91_nohash_3,no,no,1,no,1,-128;-108;-126;106,0;0.0766;0.0092;0.9135,0.0875,24.172,21.416,0,0,"[IRQ] Class: 3 scores=0.0000,0.0766,0.0092,0.9135"
44,go_eeaf97c3_nohash_3,no,no,1,unknown,0,-128;-13;-125;10,0;0.4487;0.0112;0.5393,0.0300,23.827,21.429,0,0,"[IRQ] Class: 3 scores=0.0000,0.4487,0.0112,0.5393"
45,yes_1b18600d_nohash_1,yes,yes,1,yes,1,-70;-80;-7;-100,0.2272;0.1892;0.4738;0.1091,0.0925,24.158,21.388,0,0,"[IRQ] Class: 2 scores=0.2272,0.1892,0.4738,0.1091"
46,yes_3e31dffe_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,23.826,21.407,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
47,yes_2296b1af_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0009;0.9985;0,0.0825,24.210,21.472,0,0,"[IRQ] Class: 2 scores=0.0000,0.0009,0.9985,0.0000"
48,yes_de3fe344_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0009;0.9987;0,0.0875,24.193,21.429,0,0,"[IRQ] Class: 2 scores=0.0000,0.0009,0.9987,0.0000"
49,go_e71a9381_nohash_2,no,no,1,unknown,0,-128;-96;-128;95,0;0.1269;0.0014;0.871,0.0850,23.845,21.391,0,0,"[IRQ] Class: 3 scores=0.0000,0.1269,0.0014,0.8710"
50,no_5f1253e9_nohash_0,no,no,1,no,1,-128;-106;-115;93,0;0.0869;0.05;0.8625,0.0650,23.753,21.422,0,0,"[IRQ] Class: 3 scores=0.0000,0.0869,0.0500,0.8625"
51,no_6c0f6493_nohash_0,no,no,1,no,1,-128;-123;-128;123,0;0.0207;0;0.9787,0.0750,24.050,21.392,0,0,"[IRQ] Class: 3 scores=0.0000,0.0207,0.0000,0.9787"
52,no_773e26f7_nohash_4,no,no,1,no,1,-128;-118;-128;118,0;0.0385;0;0.9609,0.0150,24.240,21.378,0,0,"[IRQ] Class: 3 scores=0.0000,0.0385,0.0000,0.9609"
53,go_01bcfc0c_nohash_0,no,no,1,unknown,0,-128;-87;-128;87,0;0.1606;0.0012;0.8378,0.0900,26.451,21.402,0,0,"[IRQ] Class: 3 scores=0.0000,0.1606,0.0012,0.8378"
54,no_c5a1e46c_nohash_0,no,no,1,no,1,-128;-110;-127;109,0;0.0708;0.0036;0.925,0.0400,21.948,21.415,0,0,"[IRQ] Class: 3 scores=0.0000,0.0708,0.0036,0.9250"
55,yes_f2e59fea_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.9978;0.0014,0.0825,23.967,21.426,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9978,0.0014"
56,go_954f190f_nohash_0,no,no,1,unknown,0,-121;-50;-121;35,0.028;0.3059;0.028;0.6374,0.0825,24.000,21.440,0,0,"[IRQ] Class: 3 scores=0.0280,0.3059,0.0280,0.6374"
57,go_3659fc1c_nohash_0,no,no,1,unknown,0,-66;-66;-95;-29,0.2434;0.2434;0.1279;0.385,0.1275,23.706,21.388,0,0,"[IRQ] Class: 3 scores=0.2434,0.2434,0.1279,0.3850"
58,go_0cb74144_nohash_1,no,no,1,unknown,0,-128;-110;-125;107,0.0002;0.07;0.0122;0.9167,0.0575,23.783,21.406,0,0,"[IRQ] Class: 3 scores=0.0002,0.0700,0.0122,0.9167"
59,go_1942abd7_nohash_0,unknown,unknown,1,unknown,1,-128;110;-127;-111,0.0009;0.9309;0.0029;0.0649,0.1150,23.944,21.409,0,0,"[IRQ] Class: 1 scores=0.0009,0.9309,0.0029,0.0649"
60,go_b69002d4_nohash_1,no,no,1,unknown,0,-128;-90;-128;90,0;0.1486;0.0012;0.8496,0.0850,23.991,21.376,0,0,"[IRQ] Class: 3 scores=0.0000,0.1486,0.0012,0.8496"
61,go_28e47b1a_nohash_1,unknown,unknown,1,unknown,1,-128;80;-128;-80,0;0.8115;0.0009;0.187,0.0600,23.797,21.421,0,0,"[IRQ] Class: 1 scores=0.0000,0.8115,0.0009,0.1870"
62,_background_noise__white_noise,silence,silence,1,silence,1,122;-127;-125;-126,0.977;0.0041;0.0107;0.0075,0.0475,23.952,21.440,0,0,"[IRQ] Class: 0 scores=0.9770,0.0041,0.0107,0.0075"
63,no_a1cff772_nohash_1,no,no,1,no,1,-128;-127;-128;127,0;0.0051;0;0.9946,0.0675,23.976,21.433,0,0,"[IRQ] Class: 3 scores=0.0000,0.0051,0.0000,0.9946"
64,no_01648c51_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;0.0075;0;0.9921,0.0100,12.988,32.552,0,0,"[IRQ] Class: 3 scores=0.0000,0.0075,0.0000,0.9921"
65,yes_a9ca1818_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0014;0.9982;0,0.0875,24.053,21.387,0,0,"[IRQ] Class: 2 scores=0.0000,0.0014,0.9982,0.0000"
66,no_39833acb_nohash_2,unknown,unknown,1,no,0,-128;38;-126;-41,0;0.6494;0.0085;0.3415,0.0850,23.861,21.472,0,0,"[IRQ] Class: 1 scores=0.0000,0.6494,0.0085,0.3415"
67,go_ee1d8d49_nohash_3,unknown,unknown,1,unknown,1,-128;22;-126;-24,0;0.5861;0.007;0.4062,0.0250,19.457,26.113,0,0,"[IRQ] Class: 1 scores=0.0000,0.5861,0.0070,0.4062"
68,no_c39703ec_nohash_1,no,no,1,no,1,-126;-122;-107;99,0.009;0.0224;0.0815;0.8867,0.0675,18.347,27.160,0,0,"[IRQ] Class: 3 scores=0.0090,0.0224,0.0815,0.8867"
69,yes_db72a474_nohash_0,yes,yes,1,yes,1,-128;-127;127;-128,0;0.0026;0.9953;0.0014,0.0875,23.872,21.419,0,0,"[IRQ] Class: 2 scores=0.0000,0.0026,0.9953,0.0014"
70,go_27c24504_nohash_3,no,no,1,unknown,0,-128;-96;-124;92,0;0.1252;0.0148;0.8593,0.0275,24.059,21.396,0,0,"[IRQ] Class: 3 scores=0.0000,0.1252,0.0148,0.8593"
71,no_0132a06d_nohash_4,no,no,1,no,1,-128;-80;-128;80,0;0.187;0.0009;0.8115,0.0600,24.196,21.410,0,0,"[IRQ] Class: 3 scores=0.0000,0.1870,0.0009,0.8115"
72,go_173ae793_nohash_1,no,no,1,unknown,0,-128;-110;-128;110,0;0.071;0;0.9284,0.0500,23.706,21.394,0,0,"[IRQ] Class: 3 scores=0.0000,0.0710,0.0000,0.9284"
73,go_c1d39ce8_nohash_8,no,no,1,unknown,0,-128;-118;-112;102,0;0.0395;0.0625;0.8974,0.0350,24.197,21.400,0,0,"[IRQ] Class: 3 scores=0.0000,0.0395,0.0625,0.8974"
74,no_37dca74f_nohash_0,no,no,1,no,1,-128;-113;-127;112,0;0.0595;0.0036;0.9362,0.0625,23.968,21.424,0,0,"[IRQ] Class: 3 scores=0.0000,0.0595,0.0036,0.9362"
75,yes_51f7a034_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.9982;0.0009,0.0800,24.226,21.403,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9982,0.0009"
76,go_d394ef8e_nohash_1,unknown,unknown,1,unknown,1,-128;44;-127;-45,0;0.6735;0.0029;0.3232,0.0900,24.025,21.411,0,0,"[IRQ] Class: 1 scores=0.0000,0.6735,0.0029,0.3232"
77,go_fb8c31a9_nohash_1,no,no,1,unknown,0,-128;-114;-124;110,0;0.0539;0.0148;0.9309,0.0700,24.004,21.400,0,0,"[IRQ] Class: 3 scores=0.0000,0.0539,0.0148,0.9309"
78,no_538e1856_nohash_0,no,no,1,no,1,-128;-126;-128;126,0;0.0075;0;0.9921,0.0100,23.947,21.432,0,0,"[IRQ] Class: 3 scores=0.0000,0.0075,0.0000,0.9921"
79,go_2da58b32_nohash_3,no,no,1,unknown,0,-128;-125;-127;124,0;0.0131;0.0029;0.9836,0.0800,24.273,21.408,0,0,"[IRQ] Class: 3 scores=0.0000,0.0131,0.0029,0.9836"
80,yes_2fcb6397_nohash_2,yes,yes,1,yes,1,-128;-128;110;-110,0;0;0.9284;0.071,0.0500,23.775,21.493,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9284,0.0710"
81,no_a97017df_nohash_1,no,no,1,no,1,-128;-124;-128;124,0;0.017;0;0.9826,0.0800,23.904,21.430,0,0,"[IRQ] Class: 3 scores=0.0000,0.0170,0.0000,0.9826"
82,go_6565a81d_nohash_3,no,no,1,unknown,0,-128;-80;-128;80,0;0.187;0.0009;0.8115,0.0600,23.780,21.398,0,0,"[IRQ] Class: 3 scores=0.0000,0.1870,0.0009,0.8115"
83,yes_41285056_nohash_2,yes,yes,1,yes,1,-128;-126;122;-124,0;0.0075;0.9765;0.0156,0.0100,24.040,21.417,0,0,"[IRQ] Class: 2 scores=0.0000,0.0075,0.9765,0.0156"
84,go_eaa83485_nohash_4,no,no,1,unknown,0,-128;-108;-128;108,0;0.0773;0;0.9223,0.0300,23.858,21.510,0,0,"[IRQ] Class: 3 scores=0.0000,0.0773,0.0000,0.9223"
85,no_c33682f0_nohash_0,no,no,1,no,1,-128;-120;-128;120,0;0.0324;0;0.967,0.0750,23.783,21.430,0,0,"[IRQ] Class: 3 scores=0.0000,0.0324,0.0000,0.9670"
86,yes_52162b51_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,23.967,21.443,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
87,yes_9b8a7439_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9997;0,0.0900,24.130,21.401,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9997,0.0000"
88,yes_c2dccf38_nohash_4,yes,yes,1,yes,1,-128;-125;124;-126,0;0.01;0.9829;0.0068,0.1050,23.970,21.391,0,0,"[IRQ] Class: 2 scores=0.0000,0.0100,0.9829,0.0068"
89,yes_cfbedff9_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9995;0,0.0850,23.734,21.442,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9995,0.0000"
90,yes_e7bcee8a_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;1;0,0.0975,24.169,21.403,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,1.0000,0.0000"
91,yes_72242187_nohash_0,yes,yes,1,yes,1,-128;-127;119;-120,0;0.0039;0.9631;0.0322,0.0675,23.907,21.459,0,0,"[IRQ] Class: 2 scores=0.0000,0.0039,0.9631,0.0322"
92,no_6794a793_nohash_0,no,no,1,no,1,-128;-78;-118;68,0;0.1933;0.0405;0.7656,0.0850,24.037,21.416,0,0,"[IRQ] Class: 3 scores=0.0000,0.1933,0.0405,0.7656"
93,yes_35d1b6ee_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9992;0.0002,0.0825,24.044,21.416,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9992,0.0002"
94,go_617de221_nohash_1,unknown,unknown,1,unknown,1,-128;22;-126;-24,0;0.5869;0.0058;0.4067,0.0875,23.968,21.407,0,0,"[IRQ] Class: 1 scores=0.0000,0.5869,0.0058,0.4067"
95,no_3cc595de_nohash_0,no,no,1,no,1,-128;-107;-65;44,0;0.0815;0.2451;0.6728,0.0600,23.905,21.429,0,0,"[IRQ] Class: 3 scores=0.0000,0.0815,0.2451,0.6728"
96,go_890cc926_nohash_2,no,no,1,unknown,0,-128;-121;-124;117,0;0.0266;0.0166;0.9565,0.0550,23.950,21.408,0,0,"[IRQ] Class: 3 scores=0.0000,0.0266,0.0166,0.9565"
97,go_f2e59fea_nohash_3,unknown,unknown,1,unknown,1,-128;103;-126;-105,0;0.9013;0.0075;0.0908,0.0575,23.915,21.397,0,0,"[IRQ] Class: 1 scores=0.0000,0.9013,0.0075,0.0908"
98,no_a4ca3afe_nohash_0,no,no,1,no,1,-128;-127;-128;127,0;0.0041;0;0.9956,0.0175,24.185,21.405,0,0,"[IRQ] Class: 3 scores=0.0000,0.0041,0.0000,0.9956"
99,_background_noise__pink_noise,silence,silence,1,silence,1,107;-120;-125;-118,0.9162;0.0307;0.0122;0.0402,0.0975,24.101,21.392,0,0,"[IRQ] Class: 0 scores=0.9162,0.0307,0.0122,0.0402"
100,yes_b25b6065_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9992;0.0002,0.0825,24.175,21.382,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9992,0.0002"
101,no_b59fa113_nohash_1,yes,yes,1,no,0,-128;-103;63;-88,0.0002;0.0986;0.7441;0.1562,0.0775,23.763,21.418,0,0,"[IRQ] Class: 2 scores=0.0002,0.0986,0.7441,0.1562"
102,yes_611d2b50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.9995;0,0.0900,24.004,21.413,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9995,0.0000"
103,no_3a3ee7ed_nohash_1,no,no,1,no,1,-128;-109;-118;99,0;0.0742;0.039;0.8862,0.0150,23.910,21.438,0,0,"[IRQ] Class: 3 scores=0.0000,0.0742,0.0390,0.8862"
104,go_96d8bb6f_nohash_3,unknown,unknown,1,unknown,1,-128;29;-128;-29,0.0002;0.6113;0.0017;0.3862,0.1100,24.130,21.402,0,0,"[IRQ] Class: 1 scores=0.0002,0.6113,0.0017,0.3862"
105,yes_879a2b38_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0002;0.999;0.0002,0.0825,24.225,21.441,0,0,"[IRQ] Class: 2 scores=0.0000,0.0002,0.9990,0.0002"
106,no_27c24504_nohash_2,no,no,1,no,1,-128;-113;-127;112,0.0002;0.0595;0.0026;0.937,0.0725,29.035,21.394,0,0,"[IRQ] Class: 3 scores=0.0002,0.0595,0.0026,0.9370"
107,no_06a79a03_nohash_0,no,no,1,no,1,-128;-111;-128;111,0;0.0651;0;0.9345,0.0550,19.026,21.402,0,0,"[IRQ] Class: 3 scores=0.0000,0.0651,0.0000,0.9345"
108,yes_0717b9f6_nohash_0,yes,yes,1,yes,1,-128;-124;122;-126,0;0.0156;0.9763;0.0075,0.0150,23.803,21.509,0,0,"[IRQ] Class: 2 scores=0.0000,0.0156,0.9763,0.0075"
109,yes_363c6bad_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9995;0,0.0850,24.064,21.420,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9995,0.0000"
110,no_94d370bf_nohash_1,no,no,1,no,1,-128;-124;-127;123,0;0.0156;0.0046;0.9792,0.0500,28.474,21.412,0,0,"[IRQ] Class: 3 scores=0.0000,0.0156,0.0046,0.9792"
111,go_3589bc72_nohash_4,unknown,unknown,1,unknown,1,-128;99;-127;-100,0.0014;0.8857;0.0051;0.1074,0.1400,19.318,21.459,0,0,"[IRQ] Class: 1 scores=0.0014,0.8857,0.0051,0.1074"
112,go_1ed0b13d_nohash_0,no,no,1,unknown,0,-128;-80;-128;80,0;0.1872;0;0.8125,0.0075,23.983,21.508,0,0,"[IRQ] Class: 3 scores=0.0000,0.1872,0.0000,0.8125"
113,yes_5f8097e1_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0014;0.9978;0.0002,0.0825,24.070,21.412,0,0,"[IRQ] Class: 2 scores=0.0000,0.0014,0.9978,0.0002"
114,yes_7fb8d703_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0007;0.999;0,0.0900,23.675,21.416,0,0,"[IRQ] Class: 2 scores=0.0000,0.0007,0.9990,0.0000"
115,go_bdd22e4d_nohash_4,no,no,1,unknown,0,-127;-103;-125;99,0.0029;0.0981;0.0107;0.8876,0.0825,23.970,21.400,0,0,"[IRQ] Class: 3 scores=0.0029,0.0981,0.0107,0.8876"
116,no_54b6d355_nohash_0,no,no,1,no,1,-128;-95;-128;95,0;0.1269;0.0004;0.872,0.0825,24.056,21.421,0,0,"[IRQ] Class: 3 scores=0.0000,0.1269,0.0004,0.8720"
117,no_a4baac4e_nohash_2,no,no,1,no,1,-128;-125;-128;125,0;0.0119;0.0002;0.9873,0.0350,23.865,21.448,0,0,"[IRQ] Class: 3 scores=0.0000,0.0119,0.0002,0.9873"
118,go_3bdf05d3_nohash_0,no,no,1,unknown,0,-128;-77;-127;76,0;0.2009;0.0031;0.7954,0.1000,23.954,21.423,0,0,"[IRQ] Class: 3 scores=0.0000,0.2009,0.0031,0.7954"
119,yes_0d82fd99_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0.0004;0.9992;0,0.0875,24.141,21.417,0,0,"[IRQ] Class: 2 scores=0.0000,0.0004,0.9992,0.0000"
120,yes_b414c653_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9985;0.0009,0.0825,23.746,21.423,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9985,0.0009"
121,yes_1496195a_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,0;0;0.9992;0.0002,0.0825,23.932,21.455,0,0,"[IRQ] Class: 2 scores=0.0000,0.0000,0.9992,0.0002"
122,go_322d17d3_nohash_0,no,no,1,unknown,0,-128;-111;-128;111,0;0.0651;0;0.9345,0.0550,25.900,21.402,0,0,"[IRQ] Class: 3 scores=0.0000,0.0651,0.0000,0.9345"
123,no_18d120ae_nohash_0,no,no,1,no,1,-128;-94;-118;84,0;0.132;0.0397;0.8276,0.0475,22.449,21.412,0,0,"[IRQ] Class: 3 scores=0.0000,0.1320,0.0397,0.8276"
124,yes_58df33b5_nohash_1,yes,yes,1,yes,1,-128;-127;126;-128,0.0002;0.0051;0.9926;0.0012,0.0750,24.187,21.428,0,0,"[IRQ] Class: 2 scores=0.0002,0.0051,0.9926,0.0012"
125,yes_72aa7259_nohash_0,yes,yes,1,yes,1,-128;-122;116;-122,0;0.0239;0.9514;0.0239,0.0675,23.917,21.422,0,0,"[IRQ] Class: 2 scores=0.0000,0.0239,0.9514,0.0239"
