index,name,golden_ref,predicted,matches_golden,truth_info,matches_truth_info,golden_scores,scores,score_error_pct,latency_ms,tx_ms,timeout,retries,raw
87,yes_9b8a7439_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,7.449,21.439,0,0,[IRQ] Class: 2
88,yes_c2dccf38_nohash_4,yes,yes,1,yes,1,-128;-125;124;-126,,,7.919,21.489,0,0,[IRQ] Class: 2
89,yes_cfbedff9_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,7.873,21.513,0,0,[IRQ] Class: 2
90,yes_e7bcee8a_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,7.674,21.509,0,0,[IRQ] Class: 2
91,yes_72242187_nohash_0,yes,yes,1,yes,1,-128;-127;119;-120,,,7.589,21.393,0,0,[IRQ] Class: 2
92,no_6794a793_nohash_0,no,no,1,no,1,-128;-78;-118;68,,,6.739,21.983,0,0,[IRQ] Class: 3
93,yes_35d1b6ee_nohash_2,yes,yes,1,yes,1,-128;-128;127;-128,,,7.564,21.445,0,0,[IRQ] Class: 2
94,go_617de221_nohash_1,unknown,unknown,1,unknown,1,-128;22;-126;-24,,,8.007,21.526,0,0,[IRQ] Class: 1
95,no_3cc595de_nohash_0,no,no,1,no,1,-128;-107;-65;44,,,7.767,21.527,0,0,[IRQ] Class: 3
96,go_890cc926_nohash_2,no,no,1,unknown,0,-128;-121;-124;117,,,7.944,21.467,0,0,[IRQ] Class: 3
97,go_f2e59fea_nohash_3,unknown,unknown,1,unknown,1,-128;103;-126;-105,,,7.201,22.259,0,0,[IRQ] Class: 1
98,no_a4ca3afe_nohash_0,no,no,1,no,1,-128;-127;-128;127,,,6.375,21.525,0,0,[IRQ] Class: 3
99,_background_noise__pink_noise,silence,silence,1,silence,1,107;-120;-125;-118,,,7.885,21.425,0,0,[IRQ] Class: 0
100,yes_b25b6065_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.160,21.549,0,0,[IRQ] Class: 2
101,no_b59fa113_nohash_1,yes,yes,1,no,0,-128;-103;63;-88,,,8.547,21.563,0,0,[IRQ] Class: 2
102,yes_611d2b50_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,6.941,21.549,0,0,[IRQ] Class: 2
103,no_3a3ee7ed_nohash_1,no,no,1,no,1,-128;-109;-118;99,,,8.030,21.460,0,0,[IRQ] Class: 3
104,go_96d8bb6f_nohash_3,unknown,unknown,1,unknown,1,-128;29;-128;-29,,,7.921,21.421,0,0,[IRQ] Class: 1
105,yes_879a2b38_nohash_0,yes,yes,1,yes,1,-128;-128;127;-128,,,7.675,21.405,0,0,[IRQ] Class: 2
106,no_27c24504_nohash_2,no,no,1,no,1,-128;-113;-127;112,,,8.123,21.446,0,0,[IRQ] Class: 3
107,no_06a79a03_nohash_0,no,no,1,no,1,-128;-111;-128;111,,,7.661,21.452,0,0,[IRQ] Class: 3
108,yes_0717b9f6_nohash_0,yes,yes,1,yes,1,-128;-124;122;-126,,,7.853,21.479,0,0,[IRQ] Class: 2
109,yes_363c6bad_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,8.882,21.486,0,0,[IRQ] Class: 2
110,no_94d370bf_nohash_1,no,no,1,no,1,-128;-124;-127;123,,,6.732,21.899,0,0,[IRQ] Class: 3
111,go_3589bc72_nohash_4,unknown,unknown,1,unknown,1,-128;99;-127;-100,,,7.397,21.592,0,0,[IRQ] Class: 1
112,go_1ed0b13d_nohash_0,no,no,1,unknown,0,-128;-80;-128;80,,,7.320,21.601,0,0,[IRQ] Class: 3
113,yes_5f8097e1_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,7.328,21.576,0,0,[IRQ] Class: 2
114,yes_7fb8d703_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,7.721,21.550,0,0,[IRQ] Class: 2
115,go_bdd22e4d_nohash_4,no,no,1,unknown,0,-127;-103;-125;99,,,8.010,21.454,0,0,[IRQ] Class: 3
116,no_54b6d355_nohash_0,no,no,1,no,1,-128;-95;-128;95,,,7.735,21.541,0,0,[IRQ] Class: 3
117,no_a4baac4e_nohash_2,no,no,1,no,1,-128;-125;-128;125,,,7.633,21.469,0,0,[IRQ] Class: 3
118,go_3bdf05d3_nohash_0,no,no,1,unknown,0,-128;-77;-127;76,,,8.027,21.418,0,0,[IRQ] Class: 3
119,yes_0d82fd99_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,7.292,21.665,0,0,[IRQ] Class: 2
120,yes_b414c653_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,6.392,22.353,0,0,[IRQ] Class: 2
121,yes_1496195a_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,8.636,21.441,0,0,[IRQ] Class: 2
122,go_322d17d3_nohash_0,no,no,1,unknown,0,-128;-111;-128;111,,,7.491,21.490,0,0,[IRQ] Class: 3
123,no_18d120ae_nohash_0,no,no,1,no,1,-128;-94;-118;84,,,6.385,22.352,0,0,[IRQ] Class: 3
124,yes_58df33b5_nohash_1,yes,yes,1,yes,1,-128;-127;126;-128,,,7.323,21.494,0,0,[IRQ] Class: 2
125,yes_72aa7259_nohash_0,yes,yes,1,yes,1,-128;-122;116;-122,,,7.708,21.499,0,0,[IRQ] Class: 2
126,_background_noise__running_tap,silence,silence,1,silence,1,121;-125;-125;-126,,,7.624,21.694,0,0,[IRQ] Class: 0
127,no_29229c21_nohash_3,no,no,1,no,1,-127;-101;-126;98,,,7.862,21.486,0,0,[IRQ] Class: 3
128,go_274c008f_nohash_0,unknown,unknown,1,unknown,1,-126;-2;-126;-2,,,7.587,21.608,0,0,[IRQ] Class: 1
129,no_712e4d58_nohash_0,no,no,1,no,1,-128;-128;-128;127,,,7.535,21.490,0,0,[IRQ] Class: 3
130,go_1365dd89_nohash_0,no,no,1,unknown,0,-128;-87;-127;86,,,7.549,21.454,0,0,[IRQ] Class: 3
131,no_b65f6015_nohash_0,no,no,1,no,1,-128;-125;-128;125,,,8.301,21.421,0,0,[IRQ] Class: 3
132,yes_e91d173e_nohash_1,yes,yes,1,yes,1,-128;-125;124;-128,,,7.223,21.451,0,0,[IRQ] Class: 2
133,no_499be02e_nohash_4,no,no,1,no,1,-128;-114;-114;99,,,7.820,21.600,0,0,[IRQ] Class: 3
134,no_bde0f20a_nohash_0,no,no,1,no,1,-128;-126;-128;126,,,7.721,21.439,0,0,[IRQ] Class: 3
135,go_e6be0830_nohash_4,no,no,1,unknown,0,-128;-68;-128;68,,,7.669,21.476,0,0,[IRQ] Class: 3
136,go_0e5193e6_nohash_0,unknown,unknown,1,unknown,1,-126;32;-127;-36,,,7.542,21.453,0,0,[IRQ] Class: 1
137,_background_noise__exercise_bike,silence,silence,1,silence,1,80;-107;-126;-103,,,8.215,21.439,0,0,[IRQ] Class: 0
138,yes_73f20b00_nohash_3,yes,yes,1,yes,1,-128;-126;125;-128,,,7.913,21.470,0,0,[IRQ] Class: 2
139,_background_noise__dude_miaowing,silence,silence,1,silence,1,116;-121;-124;-127,,,8.211,21.417,0,0,[IRQ] Class: 0
140,go_5677ec77_nohash_0,no,no,1,unknown,0,-128;-118;-127;118,,,7.800,21.420,0,0,[IRQ] Class: 3
141,go_24befdb3_nohash_3,no,no,1,unknown,0,-128;-100;-128;100,,,8.153,21.487,0,0,[IRQ] Class: 3
142,go_b0ae6326_nohash_2,no,no,1,unknown,0,-128;-121;-128;121,,,7.315,21.534,0,0,[IRQ] Class: 3
143,go_31270cb2_nohash_0,no,no,1,unknown,0,-128;-95;-128;95,,,6.415,22.847,0,0,[IRQ] Class: 3
144,yes_8d9cc260_nohash_0,yes,yes,1,yes,1,-128;-127;126;-128,,,9.856,21.528,0,0,[IRQ] Class: 2
145,go_617de221_nohash_4,no,no,1,unknown,0,-128;-60;-128;60,,,5.753,21.430,0,0,[IRQ] Class: 3
146,yes_cd85758f_nohash_4,yes,yes,1,yes,1,-128;-128;127;-128,,,7.781,21.484,0,0,[IRQ] Class: 2
147,no_b176f8e9_nohash_0,unknown,unknown,1,no,0,-127;43;-101;-71,,,8.492,21.410,0,0,[IRQ] Class: 1
148,go_8931f494_nohash_1,no,no,1,unknown,0,-128;-45;-127;45,,,7.451,21.540,0,0,[IRQ] Class: 3
149,go_4c3cddb8_nohash_4,no,no,1,unknown,0,-128;-119;-128;118,,,7.039,22.058,0,0,[IRQ] Class: 3
150,no_8012c69d_nohash_1,no,no,1,no,1,-128;-119;-128;119,,,8.321,21.489,0,0,[IRQ] Class: 3
151,yes_bfd26d6b_nohash_4,yes,yes,1,yes,1,-128;-126;126;-128,,,7.927,21.521,0,0,[IRQ] Class: 2
152,go_7f581e94_nohash_0,unknown,unknown,1,unknown,1,-128;40;-128;-40,,,7.550,22.161,0,0,[IRQ] Class: 1
153,yes_a9ca1818_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,8.233,21.671,0,0,[IRQ] Class: 2
154,no_7211390b_nohash_3,no,no,1,no,1,-128;-87;-128;87,,,6.004,21.585,0,0,[IRQ] Class: 3
155,yes_bdd22e4d_nohash_3,yes,yes,1,yes,1,-128;-128;127;-128,,,6.357,22.849,0,0,[IRQ] Class: 2
