file,name,truth,golden,golden_scores,golden_probs
vectors/go_27c24504_nohash_3.bin,go_27c24504_nohash_3,unknown,no,-128;-96;-124;92,0.0000;0.1250;0.0156;0.8594
vectors/yes_72aa7259_nohash_0.bin,yes_72aa7259_nohash_0,yes,yes,-128;-122;116;-122,0.0000;0.0234;0.9531;0.0234
vectors/go_1942abd7_nohash_0.bin,go_1942abd7_nohash_0,unknown,unknown,-128;110;-127;-111,0.0000;0.9297;0.0039;0.0664
vectors/no_c5a1e46c_nohash_0.bin,no_c5a1e46c_nohash_0,no,no,-128;-110;-127;109,0.0000;0.0703;0.0039;0.9258
vectors/no_3a3ee7ed_nohash_1.bin,no_3a3ee7ed_nohash_1,no,no,-128;-109;-118;99,0.0000;0.0742;0.0391;0.8867
vectors/no_9712cce0_nohash_0.bin,no_9712cce0_nohash_0,no,no,-128;-124;-128;124,0.0000;0.0156;0.0000;0.9844
vectors/no_5f1253e9_nohash_0.bin,no_5f1253e9_nohash_0,no,no,-128;-106;-115;93,0.0000;0.0859;0.0508;0.8633
vectors/yes_9b8a7439_nohash_4.bin,yes_9b8a7439_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_a4ca3afe_nohash_0.bin,no_a4ca3afe_nohash_0,no,no,-128;-127;-128;127,0.0000;0.0039;0.0000;0.9961
vectors/go_cb72dfb6_nohash_3.bin,go_cb72dfb6_nohash_3,unknown,no,-128;-56;-125;53,0.0000;0.2812;0.0117;0.7070
vectors/yes_bfd26d6b_nohash_4.bin,yes_bfd26d6b_nohash_4,yes,yes,-128;-126;126;-128,0.0000;0.0078;0.9922;0.0000
vectors/no_712e4d58_nohash_0.bin,no_712e4d58_nohash_0,no,no,-128;-128;-128;127,0.0000;0.0000;0.0000;0.9961
vectors/_background_noise__doing_the_dishes.bin,_background_noise__doing_the_dishes,silence,silence,43;-71;-119;-109,0.6680;0.2227;0.0352;0.0742
vectors/no_0132a06d_nohash_4.bin,no_0132a06d_nohash_4,no,no,-128;-80;-128;80,0.0000;0.1875;0.0000;0.8125
vectors/go_f19279c4_nohash_0.bin,go_f19279c4_nohash_0,unknown,no,-128;-107;-121;100,0.0000;0.0820;0.0273;0.8906
vectors/yes_73af0c50_nohash_0.bin,yes_73af0c50_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_0c40e715_nohash_1.bin,go_0c40e715_nohash_1,unknown,no,-128;-124;-128;124,0.0000;0.0156;0.0000;0.9844
vectors/yes_f575faf3_nohash_0.bin,yes_f575faf3_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_270bfa52_nohash_1.bin,no_270bfa52_nohash_1,no,no,-128;-125;-128;125,0.0000;0.0117;0.0000;0.9883
vectors/no_dce05676_nohash_0.bin,no_dce05676_nohash_0,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/go_617de221_nohash_4.bin,go_617de221_nohash_4,unknown,no,-128;-60;-128;60,0.0000;0.2656;0.0000;0.7344
vectors/go_0cb74144_nohash_1.bin,go_0cb74144_nohash_1,unknown,no,-128;-110;-125;107,0.0000;0.0703;0.0117;0.9180
vectors/no_a8f45bdc_nohash_0.bin,no_a8f45bdc_nohash_0,no,no,-128;-128;-128;127,0.0000;0.0000;0.0000;0.9961
vectors/go_617de221_nohash_1.bin,go_617de221_nohash_1,unknown,unknown,-128;22;-126;-24,0.0000;0.5859;0.0078;0.4062
vectors/go_954f190f_nohash_0.bin,go_954f190f_nohash_0,unknown,no,-121;-50;-121;35,0.0273;0.3047;0.0273;0.6367
vectors/no_b59fa113_nohash_1.bin,no_b59fa113_nohash_1,no,yes,-128;-103;63;-88,0.0000;0.0977;0.7461;0.1562
vectors/go_d394ef8e_nohash_1.bin,go_d394ef8e_nohash_1,unknown,unknown,-128;44;-127;-45,0.0000;0.6719;0.0039;0.3242
vectors/no_e71a9381_nohash_2.bin,no_e71a9381_nohash_2,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/go_b69002d4_nohash_1.bin,go_b69002d4_nohash_1,unknown,no,-128;-90;-128;90,0.0000;0.1484;0.0000;0.8516
vectors/no_c39703ec_nohash_4.bin,no_c39703ec_nohash_4,no,no,-128;-101;-126;98,0.0000;0.1055;0.0078;0.8828
vectors/go_c1d39ce8_nohash_8.bin,go_c1d39ce8_nohash_8,unknown,no,-128;-118;-112;102,0.0000;0.0391;0.0625;0.8984
vectors/go_1365dd89_nohash_0.bin,go_1365dd89_nohash_0,unknown,no,-128;-87;-127;86,0.0000;0.1602;0.0039;0.8359
vectors/no_1dc86f91_nohash_3.bin,no_1dc86f91_nohash_3,no,no,-128;-108;-126;106,0.0000;0.0781;0.0078;0.9141
vectors/no_cc3b5b62_nohash_4.bin,no_cc3b5b62_nohash_4,no,no,-128;-120;-121;113,0.0000;0.0312;0.0273;0.9414
vectors/no_37dca74f_nohash_0.bin,no_37dca74f_nohash_0,no,no,-128;-113;-127;112,0.0000;0.0586;0.0039;0.9375
vectors/yes_0d82fd99_nohash_3.bin,yes_0d82fd99_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_1a73dcd1_nohash_2.bin,no_1a73dcd1_nohash_2,no,unknown,-128;4;-80;-52,0.0000;0.5156;0.1875;0.2969
vectors/go_173ae793_nohash_1.bin,go_173ae793_nohash_1,unknown,no,-128;-110;-128;110,0.0000;0.0703;0.0000;0.9297
vectors/go_322d17d3_nohash_0.bin,go_322d17d3_nohash_0,unknown,no,-128;-111;-128;111,0.0000;0.0664;0.0000;0.9336
vectors/yes_cfbedff9_nohash_4.bin,yes_cfbedff9_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/_background_noise__pink_noise.bin,_background_noise__pink_noise,silence,silence,107;-120;-125;-118,0.9180;0.0312;0.0117;0.0391
vectors/no_a4baac4e_nohash_2.bin,no_a4baac4e_nohash_2,no,no,-128;-125;-128;125,0.0000;0.0117;0.0000;0.9883
vectors/go_fb8c31a9_nohash_1.bin,go_fb8c31a9_nohash_1,unknown,no,-128;-114;-124;110,0.0000;0.0547;0.0156;0.9297
vectors/yes_f2e59fea_nohash_2.bin,yes_f2e59fea_nohash_2,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_1b18600d_nohash_1.bin,yes_1b18600d_nohash_1,yes,yes,-70;-80;-7;-100,0.2266;0.1875;0.4727;0.1094
vectors/_background_noise__running_tap.bin,_background_noise__running_tap,silence,silence,121;-125;-125;-126,0.9727;0.0117;0.0117;0.0078
vectors/no_b176f8e9_nohash_0.bin,no_b176f8e9_nohash_0,no,unknown,-127;43;-101;-71,0.0039;0.6680;0.1055;0.2227
vectors/go_e6be0830_nohash_4.bin,go_e6be0830_nohash_4,unknown,no,-128;-68;-128;68,0.0000;0.2344;0.0000;0.7656
vectors/go_274c008f_nohash_0.bin,go_274c008f_nohash_0,unknown,unknown,-126;-2;-126;-2,0.0078;0.4922;0.0078;0.4922
vectors/yes_b414c653_nohash_4.bin,yes_b414c653_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_c2dccf38_nohash_4.bin,yes_c2dccf38_nohash_4,yes,yes,-128;-125;124;-126,0.0000;0.0117;0.9844;0.0078
vectors/go_1ed0b13d_nohash_0.bin,go_1ed0b13d_nohash_0,unknown,no,-128;-80;-128;80,0.0000;0.1875;0.0000;0.8125
vectors/yes_2fcb6397_nohash_2.bin,yes_2fcb6397_nohash_2,yes,yes,-128;-128;110;-110,0.0000;0.0000;0.9297;0.0703
vectors/no_8012c69d_nohash_1.bin,no_8012c69d_nohash_1,no,no,-128;-119;-128;119,0.0000;0.0352;0.0000;0.9648
vectors/yes_363c6bad_nohash_4.bin,yes_363c6bad_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_c0fb6812_nohash_0.bin,no_c0fb6812_nohash_0,no,no,-128;-108;-127;107,0.0000;0.0781;0.0039;0.9180
vectors/no_a97017df_nohash_1.bin,no_a97017df_nohash_1,no,no,-128;-124;-128;124,0.0000;0.0156;0.0000;0.9844
vectors/yes_73f20b00_nohash_3.bin,yes_73f20b00_nohash_3,yes,yes,-128;-126;125;-128,0.0000;0.0078;0.9883;0.0000
vectors/no_499be02e_nohash_4.bin,no_499be02e_nohash_4,no,no,-128;-114;-114;99,0.0000;0.0547;0.0547;0.8867
vectors/no_3ca784ec_nohash_1.bin,no_3ca784ec_nohash_1,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/go_8931f494_nohash_1.bin,go_8931f494_nohash_1,unknown,no,-128;-45;-127;45,0.0000;0.3242;0.0039;0.6758
vectors/no_7211390b_nohash_3.bin,no_7211390b_nohash_3,no,no,-128;-87;-128;87,0.0000;0.1602;0.0000;0.8398
vectors/go_eeaf97c3_nohash_3.bin,go_eeaf97c3_nohash_3,unknown,no,-128;-13;-125;10,0.0000;0.4492;0.0117;0.5391
vectors/yes_b25b6065_nohash_0.bin,yes_b25b6065_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_c33682f0_nohash_0.bin,no_c33682f0_nohash_0,no,no,-128;-120;-128;120,0.0000;0.0312;0.0000;0.9688
vectors/yes_ffb86d3c_nohash_0.bin,yes_ffb86d3c_nohash_0,yes,yes,-128;-127;127;-128,0.0000;0.0039;0.9961;0.0000
vectors/go_4c3cddb8_nohash_4.bin,go_4c3cddb8_nohash_4,unknown,no,-128;-119;-128;118,0.0000;0.0352;0.0000;0.9609
vectors/no_54b6d355_nohash_0.bin,no_54b6d355_nohash_0,no,no,-128;-95;-128;95,0.0000;0.1289;0.0000;0.8711
vectors/yes_cd85758f_nohash_4.bin,yes_cd85758f_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_6adb8ad9_nohash_0.bin,go_6adb8ad9_nohash_0,unknown,no,-128;-95;-128;95,0.0000;0.1289;0.0000;0.8711
vectors/go_24befdb3_nohash_3.bin,go_24befdb3_nohash_3,unknown,no,-128;-100;-128;100,0.0000;0.1094;0.0000;0.8906
vectors/_background_noise__exercise_bike.bin,_background_noise__exercise_bike,silence,silence,80;-107;-126;-103,0.8125;0.0820;0.0078;0.0977
vectors/no_b69002d4_nohash_0.bin,no_b69002d4_nohash_0,no,no,-128;-30;-126;28,0.0000;0.3828;0.0078;0.6094
vectors/yes_611d2b50_nohash_0.bin,yes_611d2b50_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_879a2b38_nohash_0.bin,yes_879a2b38_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_3659fc1c_nohash_0.bin,go_3659fc1c_nohash_0,unknown,no,-66;-66;-95;-29,0.2422;0.2422;0.1289;0.3867
vectors/go_b0ae6326_nohash_2.bin,go_b0ae6326_nohash_2,unknown,no,-128;-121;-128;121,0.0000;0.0273;0.0000;0.9727
vectors/no_773e26f7_nohash_4.bin,no_773e26f7_nohash_4,no,no,-128;-118;-128;118,0.0000;0.0391;0.0000;0.9609
vectors/go_2da58b32_nohash_3.bin,go_2da58b32_nohash_3,unknown,no,-128;-125;-127;124,0.0000;0.0117;0.0039;0.9844
vectors/yes_f5626af6_nohash_1.bin,yes_f5626af6_nohash_1,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_6565a81d_nohash_3.bin,go_6565a81d_nohash_3,unknown,no,-128;-80;-128;80,0.0000;0.1875;0.0000;0.8125
vectors/yes_2296b1af_nohash_2.bin,yes_2296b1af_nohash_2,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_01bcfc0c_nohash_0.bin,go_01bcfc0c_nohash_0,unknown,no,-128;-87;-128;87,0.0000;0.1602;0.0000;0.8398
vectors/yes_e7bcee8a_nohash_4.bin,yes_e7bcee8a_nohash_4,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_8931f494_nohash_0.bin,go_8931f494_nohash_0,unknown,no,-128;-12;-128;11,0.0000;0.4531;0.0000;0.5430
vectors/no_b65f6015_nohash_0.bin,no_b65f6015_nohash_0,no,no,-128;-125;-128;125,0.0000;0.0117;0.0000;0.9883
vectors/go_3589bc72_nohash_4.bin,go_3589bc72_nohash_4,unknown,unknown,-128;99;-127;-100,0.0000;0.8867;0.0039;0.1094
vectors/yes_41285056_nohash_2.bin,yes_41285056_nohash_2,yes,yes,-128;-126;122;-124,0.0000;0.0078;0.9766;0.0156
vectors/no_06a79a03_nohash_0.bin,no_06a79a03_nohash_0,no,no,-128;-111;-128;111,0.0000;0.0664;0.0000;0.9336
vectors/no_c39703ec_nohash_1.bin,no_c39703ec_nohash_1,no,no,-126;-122;-107;99,0.0078;0.0234;0.0820;0.8867
vectors/yes_72242187_nohash_0.bin,yes_72242187_nohash_0,yes,yes,-128;-127;119;-120,0.0000;0.0039;0.9648;0.0312
vectors/no_27c24504_nohash_2.bin,no_27c24504_nohash_2,no,no,-128;-113;-127;112,0.0000;0.0586;0.0039;0.9375
vectors/go_190821dc_nohash_1.bin,go_190821dc_nohash_1,unknown,no,-128;-117;-128;117,0.0000;0.0430;0.0000;0.9570
vectors/yes_db72a474_nohash_0.bin,yes_db72a474_nohash_0,yes,yes,-128;-127;127;-128,0.0000;0.0039;0.9961;0.0000
vectors/no_40b60ae9_nohash_0.bin,no_40b60ae9_nohash_0,no,no,-128;-124;-128;124,0.0000;0.0156;0.0000;0.9844
vectors/yes_35d1b6ee_nohash_2.bin,yes_35d1b6ee_nohash_2,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_ab46af55_nohash_1.bin,go_ab46af55_nohash_1,unknown,no,-128;-6;-128;6,0.0000;0.4766;0.0000;0.5234
vectors/_background_noise__dude_miaowing.bin,_background_noise__dude_miaowing,silence,silence,116;-121;-124;-127,0.9531;0.0273;0.0156;0.0039
vectors/no_538e1856_nohash_0.bin,no_538e1856_nohash_0,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/no_29229c21_nohash_3.bin,no_29229c21_nohash_3,no,no,-127;-101;-126;98,0.0039;0.1055;0.0078;0.8828
vectors/yes_472b8045_nohash_4.bin,yes_472b8045_nohash_4,yes,yes,-128;-127;126;-128,0.0000;0.0039;0.9922;0.0000
vectors/yes_39afb88e_nohash_0.bin,yes_39afb88e_nohash_0,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_56eab10e_nohash_0.bin,go_56eab10e_nohash_0,unknown,no,-128;-122;-128;122,0.0000;0.0234;0.0000;0.9766
vectors/go_3bdf05d3_nohash_0.bin,go_3bdf05d3_nohash_0,unknown,no,-128;-77;-127;76,0.0000;0.1992;0.0039;0.7969
vectors/yes_bdd22e4d_nohash_3.bin,yes_bdd22e4d_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_0e5193e6_nohash_0.bin,go_0e5193e6_nohash_0,unknown,unknown,-126;32;-127;-36,0.0078;0.6250;0.0039;0.3594
vectors/go_e71a9381_nohash_2.bin,go_e71a9381_nohash_2,unknown,no,-128;-96;-128;95,0.0000;0.1250;0.0000;0.8711
vectors/no_256c0a05_nohash_0.bin,no_256c0a05_nohash_0,no,no,-128;-127;-128;126,0.0000;0.0039;0.0000;0.9922
vectors/go_ee1d8d49_nohash_3.bin,go_ee1d8d49_nohash_3,unknown,unknown,-128;22;-126;-24,0.0000;0.5859;0.0078;0.4062
vectors/yes_58df33b5_nohash_1.bin,yes_58df33b5_nohash_1,yes,yes,-128;-127;126;-128,0.0000;0.0039;0.9922;0.0000
vectors/yes_de3fe344_nohash_3.bin,yes_de3fe344_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_52162b51_nohash_2.bin,yes_52162b51_nohash_2,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/no_6727b579_nohash_0.bin,no_6727b579_nohash_0,no,no,-128;-127;-128;127,0.0000;0.0039;0.0000;0.9961
vectors/yes_5f8097e1_nohash_3.bin,yes_5f8097e1_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/yes_a9ca1818_nohash_3.bin,yes_a9ca1818_nohash_3,yes,yes,-128;-128;127;-128,0.0000;0.0000;0.9961;0.0000
vectors/go_890cc926_nohash_2.bin,go_890cc926_nohash_2,unknown,no,-128;-121;-124;117,0.0000;0.0273;0.0156;0.9570
vectors/go_bb6d4301_nohash_3.bin,go_bb6d4301_nohash_3,unknown,no,-128;-73;-128;72,0.0000;0.2148;0.0000;0.7812
vectors/go_7f581e94_nohash_0.bin,go_7f581e94_nohash_0,unknown,unknown,-128;40;-128;-40,0.0000;0.6562;0.0000;0.3438
vectors/no_1995cf9e_nohash_0.bin,no_1995cf9e_nohash_0,no,no,-128;-127;-128;127,0.0000;0.0039;0.0000;0.9961
vectors/no_3cc595de_nohash_0.bin,no_3cc595de_nohash_0,no,no,-128;-107;-65;44,0.0000;0.0820;0.2461;0.6719
vectors/no_01648c51_nohash_0.bin,no_01648c51_nohash_0,no,no,-128;-126;-128;126,0.0000;0.0078;0.0000;0.9922
vectors/no_64df20d8_nohash_0.bin,no_64df20d8_nohash_0,no,no,-128;-120;-128;119,0.0000;0.0312;0.0000;0.9648
vectors/yes_8d9cc260_nohash_0.bin,yes_8d9cc260_nohash_0,yes,yes,-128;-127;126;-128,0.0000;0.0039;0.9922;0.0000
vectors/yes_7be9f58a_nohash_0.bin,yes_7be9f58a_nohash_0,yes,yes,-128;-120;98;-105,0.0000;0.0312;0.8828;0.0898
