file,name,truth,golden,golden_probs,source
yes_3e31dffe_nohash_0.bin,yes_3e31dffe_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/3e31dffe_nohash_0.wav
yes_cc6ee39b_nohash_0.bin,yes_cc6ee39b_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/cc6ee39b_nohash_0.wav
yes_4bc2c2c5_nohash_3.bin,yes_4bc2c2c5_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/4bc2c2c5_nohash_3.wav
yes_a9ca1818_nohash_0.bin,yes_a9ca1818_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/a9ca1818_nohash_0.wav
no_6c0f6493_nohash_0.bin,no_6c0f6493_nohash_0,no,no,0.0000;0.0195;0.0000;0.9805,downloaded/no/6c0f6493_nohash_0.wav
go_eaa83485_nohash_4.bin,go_eaa83485_nohash_4,unknown,no,0.0000;0.0781;0.0000;0.9219,downloaded/go/eaa83485_nohash_4.wav
go_d0faf7e4_nohash_3.bin,go_d0faf7e4_nohash_3,unknown,unknown,0.0000;0.6758;0.0039;0.3242,downloaded/go/d0faf7e4_nohash_3.wav
no_18d120ae_nohash_0.bin,no_18d120ae_nohash_0,no,no,0.0000;0.1328;0.0391;0.8281,downloaded/no/18d120ae_nohash_0.wav
yes_93ec8b84_nohash_0.bin,yes_93ec8b84_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/93ec8b84_nohash_0.wav
go_31270cb2_nohash_0.bin,go_31270cb2_nohash_0,unknown,no,0.0000;0.1289;0.0000;0.8711,downloaded/go/31270cb2_nohash_0.wav
go_28e47b1a_nohash_1.bin,go_28e47b1a_nohash_1,unknown,unknown,0.0000;0.8125;0.0000;0.1875,downloaded/go/28e47b1a_nohash_1.wav
no_6794a793_nohash_0.bin,no_6794a793_nohash_0,no,no,0.0000;0.1953;0.0391;0.7656,downloaded/no/6794a793_nohash_0.wav
yes_e91d173e_nohash_1.bin,yes_e91d173e_nohash_1,yes,yes,0.0000;0.0117;0.9844;0.0000,downloaded/yes/e91d173e_nohash_1.wav
no_9be15e93_nohash_0.bin,no_9be15e93_nohash_0,no,no,0.0000;0.0039;0.0000;0.9961,downloaded/no/9be15e93_nohash_0.wav
go_27c24504_nohash_3.bin,go_27c24504_nohash_3,unknown,no,0.0000;0.1250;0.0156;0.8594,downloaded/go/27c24504_nohash_3.wav
yes_72aa7259_nohash_0.bin,yes_72aa7259_nohash_0,yes,yes,0.0000;0.0234;0.9531;0.0234,downloaded/yes/72aa7259_nohash_0.wav
go_1942abd7_nohash_0.bin,go_1942abd7_nohash_0,unknown,unknown,0.0000;0.9297;0.0039;0.0664,downloaded/go/1942abd7_nohash_0.wav
no_c5a1e46c_nohash_0.bin,no_c5a1e46c_nohash_0,no,no,0.0000;0.0703;0.0039;0.9258,downloaded/no/c5a1e46c_nohash_0.wav
no_3a3ee7ed_nohash_1.bin,no_3a3ee7ed_nohash_1,no,no,0.0000;0.0742;0.0391;0.8867,downloaded/no/3a3ee7ed_nohash_1.wav
no_9712cce0_nohash_0.bin,no_9712cce0_nohash_0,no,no,0.0000;0.0156;0.0000;0.9844,downloaded/no/9712cce0_nohash_0.wav
no_5f1253e9_nohash_0.bin,no_5f1253e9_nohash_0,no,no,0.0000;0.0859;0.0508;0.8633,downloaded/no/5f1253e9_nohash_0.wav
yes_9b8a7439_nohash_4.bin,yes_9b8a7439_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/9b8a7439_nohash_4.wav
no_a4ca3afe_nohash_0.bin,no_a4ca3afe_nohash_0,no,no,0.0000;0.0039;0.0000;0.9961,downloaded/no/a4ca3afe_nohash_0.wav
go_cb72dfb6_nohash_3.bin,go_cb72dfb6_nohash_3,unknown,no,0.0000;0.2812;0.0117;0.7070,downloaded/go/cb72dfb6_nohash_3.wav
yes_bfd26d6b_nohash_4.bin,yes_bfd26d6b_nohash_4,yes,yes,0.0000;0.0078;0.9922;0.0000,downloaded/yes/bfd26d6b_nohash_4.wav
no_712e4d58_nohash_0.bin,no_712e4d58_nohash_0,no,no,0.0000;0.0000;0.0000;0.9961,downloaded/no/712e4d58_nohash_0.wav
_background_noise__doing_the_dishes.bin,_background_noise__doing_the_dishes,silence,silence,0.6680;0.2227;0.0352;0.0742,downloaded/_background_noise_/doing_the_dishes.wav
no_0132a06d_nohash_4.bin,no_0132a06d_nohash_4,no,no,0.0000;0.1875;0.0000;0.8125,downloaded/no/0132a06d_nohash_4.wav
go_f19279c4_nohash_0.bin,go_f19279c4_nohash_0,unknown,no,0.0000;0.0820;0.0273;0.8906,downloaded/go/f19279c4_nohash_0.wav
yes_73af0c50_nohash_0.bin,yes_73af0c50_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/73af0c50_nohash_0.wav
go_0c40e715_nohash_1.bin,go_0c40e715_nohash_1,unknown,no,0.0000;0.0156;0.0000;0.9844,downloaded/go/0c40e715_nohash_1.wav
yes_f575faf3_nohash_0.bin,yes_f575faf3_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/f575faf3_nohash_0.wav
no_270bfa52_nohash_1.bin,no_270bfa52_nohash_1,no,no,0.0000;0.0117;0.0000;0.9883,downloaded/no/270bfa52_nohash_1.wav
no_dce05676_nohash_0.bin,no_dce05676_nohash_0,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/dce05676_nohash_0.wav
go_617de221_nohash_4.bin,go_617de221_nohash_4,unknown,no,0.0000;0.2656;0.0000;0.7344,downloaded/go/617de221_nohash_4.wav
go_0cb74144_nohash_1.bin,go_0cb74144_nohash_1,unknown,no,0.0000;0.0703;0.0117;0.9180,downloaded/go/0cb74144_nohash_1.wav
no_a8f45bdc_nohash_0.bin,no_a8f45bdc_nohash_0,no,no,0.0000;0.0000;0.0000;0.9961,downloaded/no/a8f45bdc_nohash_0.wav
go_617de221_nohash_1.bin,go_617de221_nohash_1,unknown,unknown,0.0000;0.5859;0.0078;0.4062,downloaded/go/617de221_nohash_1.wav
go_954f190f_nohash_0.bin,go_954f190f_nohash_0,unknown,no,0.0273;0.3047;0.0273;0.6367,downloaded/go/954f190f_nohash_0.wav
no_b59fa113_nohash_1.bin,no_b59fa113_nohash_1,no,yes,0.0000;0.0977;0.7461;0.1562,downloaded/no/b59fa113_nohash_1.wav
go_d394ef8e_nohash_1.bin,go_d394ef8e_nohash_1,unknown,unknown,0.0000;0.6719;0.0039;0.3242,downloaded/go/d394ef8e_nohash_1.wav
no_e71a9381_nohash_2.bin,no_e71a9381_nohash_2,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/e71a9381_nohash_2.wav
go_b69002d4_nohash_1.bin,go_b69002d4_nohash_1,unknown,no,0.0000;0.1484;0.0000;0.8516,downloaded/go/b69002d4_nohash_1.wav
no_c39703ec_nohash_4.bin,no_c39703ec_nohash_4,no,no,0.0000;0.1055;0.0078;0.8828,downloaded/no/c39703ec_nohash_4.wav
go_c1d39ce8_nohash_8.bin,go_c1d39ce8_nohash_8,unknown,no,0.0000;0.0391;0.0625;0.8984,downloaded/go/c1d39ce8_nohash_8.wav
go_1365dd89_nohash_0.bin,go_1365dd89_nohash_0,unknown,no,0.0000;0.1602;0.0039;0.8359,downloaded/go/1365dd89_nohash_0.wav
no_1dc86f91_nohash_3.bin,no_1dc86f91_nohash_3,no,no,0.0000;0.0781;0.0078;0.9141,downloaded/no/1dc86f91_nohash_3.wav
no_cc3b5b62_nohash_4.bin,no_cc3b5b62_nohash_4,no,no,0.0000;0.0312;0.0273;0.9414,downloaded/no/cc3b5b62_nohash_4.wav
no_37dca74f_nohash_0.bin,no_37dca74f_nohash_0,no,no,0.0000;0.0586;0.0039;0.9375,downloaded/no/37dca74f_nohash_0.wav
yes_0d82fd99_nohash_3.bin,yes_0d82fd99_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/0d82fd99_nohash_3.wav
no_1a73dcd1_nohash_2.bin,no_1a73dcd1_nohash_2,no,unknown,0.0000;0.5156;0.1875;0.2969,downloaded/no/1a73dcd1_nohash_2.wav
go_173ae793_nohash_1.bin,go_173ae793_nohash_1,unknown,no,0.0000;0.0703;0.0000;0.9297,downloaded/go/173ae793_nohash_1.wav
go_322d17d3_nohash_0.bin,go_322d17d3_nohash_0,unknown,no,0.0000;0.0664;0.0000;0.9336,downloaded/go/322d17d3_nohash_0.wav
yes_cfbedff9_nohash_4.bin,yes_cfbedff9_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/cfbedff9_nohash_4.wav
_background_noise__pink_noise.bin,_background_noise__pink_noise,silence,silence,0.9180;0.0312;0.0117;0.0391,downloaded/_background_noise_/pink_noise.wav
no_a4baac4e_nohash_2.bin,no_a4baac4e_nohash_2,no,no,0.0000;0.0117;0.0000;0.9883,downloaded/no/a4baac4e_nohash_2.wav
go_fb8c31a9_nohash_1.bin,go_fb8c31a9_nohash_1,unknown,no,0.0000;0.0547;0.0156;0.9297,downloaded/go/fb8c31a9_nohash_1.wav
yes_f2e59fea_nohash_2.bin,yes_f2e59fea_nohash_2,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/f2e59fea_nohash_2.wav
yes_1b18600d_nohash_1.bin,yes_1b18600d_nohash_1,yes,yes,0.2266;0.1875;0.4727;0.1094,downloaded/yes/1b18600d_nohash_1.wav
_background_noise__running_tap.bin,_background_noise__running_tap,silence,silence,0.9727;0.0117;0.0117;0.0078,downloaded/_background_noise_/running_tap.wav
no_b176f8e9_nohash_0.bin,no_b176f8e9_nohash_0,no,unknown,0.0039;0.6680;0.1055;0.2227,downloaded/no/b176f8e9_nohash_0.wav
go_e6be0830_nohash_4.bin,go_e6be0830_nohash_4,unknown,no,0.0000;0.2344;0.0000;0.7656,downloaded/go/e6be0830_nohash_4.wav
go_274c008f_nohash_0.bin,go_274c008f_nohash_0,unknown,unknown,0.0078;0.4922;0.0078;0.4922,downloaded/go/274c008f_nohash_0.wav
yes_b414c653_nohash_4.bin,yes_b414c653_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/b414c653_nohash_4.wav
yes_c2dccf38_nohash_4.bin,yes_c2dccf38_nohash_4,yes,yes,0.0000;0.0117;0.9844;0.0078,downloaded/yes/c2dccf38_nohash_4.wav
go_1ed0b13d_nohash_0.bin,go_1ed0b13d_nohash_0,unknown,no,0.0000;0.1875;0.0000;0.8125,downloaded/go/1ed0b13d_nohash_0.wav
yes_2fcb6397_nohash_2.bin,yes_2fcb6397_nohash_2,yes,yes,0.0000;0.0000;0.9297;0.0703,downloaded/yes/2fcb6397_nohash_2.wav
no_8012c69d_nohash_1.bin,no_8012c69d_nohash_1,no,no,0.0000;0.0352;0.0000;0.9648,downloaded/no/8012c69d_nohash_1.wav
yes_363c6bad_nohash_4.bin,yes_363c6bad_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/363c6bad_nohash_4.wav
no_c0fb6812_nohash_0.bin,no_c0fb6812_nohash_0,no,no,0.0000;0.0781;0.0039;0.9180,downloaded/no/c0fb6812_nohash_0.wav
no_a97017df_nohash_1.bin,no_a97017df_nohash_1,no,no,0.0000;0.0156;0.0000;0.9844,downloaded/no/a97017df_nohash_1.wav
yes_73f20b00_nohash_3.bin,yes_73f20b00_nohash_3,yes,yes,0.0000;0.0078;0.9883;0.0000,downloaded/yes/73f20b00_nohash_3.wav
no_499be02e_nohash_4.bin,no_499be02e_nohash_4,no,no,0.0000;0.0547;0.0547;0.8867,downloaded/no/499be02e_nohash_4.wav
no_3ca784ec_nohash_1.bin,no_3ca784ec_nohash_1,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/3ca784ec_nohash_1.wav
go_8931f494_nohash_1.bin,go_8931f494_nohash_1,unknown,no,0.0000;0.3242;0.0039;0.6758,downloaded/go/8931f494_nohash_1.wav
no_7211390b_nohash_3.bin,no_7211390b_nohash_3,no,no,0.0000;0.1602;0.0000;0.8398,downloaded/no/7211390b_nohash_3.wav
go_eeaf97c3_nohash_3.bin,go_eeaf97c3_nohash_3,unknown,no,0.0000;0.4492;0.0117;0.5391,downloaded/go/eeaf97c3_nohash_3.wav
yes_b25b6065_nohash_0.bin,yes_b25b6065_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/b25b6065_nohash_0.wav
no_c33682f0_nohash_0.bin,no_c33682f0_nohash_0,no,no,0.0000;0.0312;0.0000;0.9688,downloaded/no/c33682f0_nohash_0.wav
yes_ffb86d3c_nohash_0.bin,yes_ffb86d3c_nohash_0,yes,yes,0.0000;0.0039;0.9961;0.0000,downloaded/yes/ffb86d3c_nohash_0.wav
go_4c3cddb8_nohash_4.bin,go_4c3cddb8_nohash_4,unknown,no,0.0000;0.0352;0.0000;0.9609,downloaded/go/4c3cddb8_nohash_4.wav
no_54b6d355_nohash_0.bin,no_54b6d355_nohash_0,no,no,0.0000;0.1289;0.0000;0.8711,downloaded/no/54b6d355_nohash_0.wav
yes_cd85758f_nohash_4.bin,yes_cd85758f_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/cd85758f_nohash_4.wav
go_6adb8ad9_nohash_0.bin,go_6adb8ad9_nohash_0,unknown,no,0.0000;0.1289;0.0000;0.8711,downloaded/go/6adb8ad9_nohash_0.wav
go_24befdb3_nohash_3.bin,go_24befdb3_nohash_3,unknown,no,0.0000;0.1094;0.0000;0.8906,downloaded/go/24befdb3_nohash_3.wav
_background_noise__exercise_bike.bin,_background_noise__exercise_bike,silence,silence,0.8125;0.0820;0.0078;0.0977,downloaded/_background_noise_/exercise_bike.wav
no_b69002d4_nohash_0.bin,no_b69002d4_nohash_0,no,no,0.0000;0.3828;0.0078;0.6094,downloaded/no/b69002d4_nohash_0.wav
yes_611d2b50_nohash_0.bin,yes_611d2b50_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/611d2b50_nohash_0.wav
yes_879a2b38_nohash_0.bin,yes_879a2b38_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/879a2b38_nohash_0.wav
go_3659fc1c_nohash_0.bin,go_3659fc1c_nohash_0,unknown,no,0.2422;0.2422;0.1289;0.3867,downloaded/go/3659fc1c_nohash_0.wav
go_b0ae6326_nohash_2.bin,go_b0ae6326_nohash_2,unknown,no,0.0000;0.0273;0.0000;0.9727,downloaded/go/b0ae6326_nohash_2.wav
no_773e26f7_nohash_4.bin,no_773e26f7_nohash_4,no,no,0.0000;0.0391;0.0000;0.9609,downloaded/no/773e26f7_nohash_4.wav
go_2da58b32_nohash_3.bin,go_2da58b32_nohash_3,unknown,no,0.0000;0.0117;0.0039;0.9844,downloaded/go/2da58b32_nohash_3.wav
yes_f5626af6_nohash_1.bin,yes_f5626af6_nohash_1,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/f5626af6_nohash_1.wav
go_6565a81d_nohash_3.bin,go_6565a81d_nohash_3,unknown,no,0.0000;0.1875;0.0000;0.8125,downloaded/go/6565a81d_nohash_3.wav
yes_2296b1af_nohash_2.bin,yes_2296b1af_nohash_2,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/2296b1af_nohash_2.wav
go_01bcfc0c_nohash_0.bin,go_01bcfc0c_nohash_0,unknown,no,0.0000;0.1602;0.0000;0.8398,downloaded/go/01bcfc0c_nohash_0.wav
yes_e7bcee8a_nohash_4.bin,yes_e7bcee8a_nohash_4,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/e7bcee8a_nohash_4.wav
go_8931f494_nohash_0.bin,go_8931f494_nohash_0,unknown,no,0.0000;0.4531;0.0000;0.5430,downloaded/go/8931f494_nohash_0.wav
no_b65f6015_nohash_0.bin,no_b65f6015_nohash_0,no,no,0.0000;0.0117;0.0000;0.9883,downloaded/no/b65f6015_nohash_0.wav
go_3589bc72_nohash_4.bin,go_3589bc72_nohash_4,unknown,unknown,0.0000;0.8867;0.0039;0.1094,downloaded/go/3589bc72_nohash_4.wav
yes_41285056_nohash_2.bin,yes_41285056_nohash_2,yes,yes,0.0000;0.0078;0.9766;0.0156,downloaded/yes/41285056_nohash_2.wav
no_06a79a03_nohash_0.bin,no_06a79a03_nohash_0,no,no,0.0000;0.0664;0.0000;0.9336,downloaded/no/06a79a03_nohash_0.wav
no_c39703ec_nohash_1.bin,no_c39703ec_nohash_1,no,no,0.0078;0.0234;0.0820;0.8867,downloaded/no/c39703ec_nohash_1.wav
yes_72242187_nohash_0.bin,yes_72242187_nohash_0,yes,yes,0.0000;0.0039;0.9648;0.0312,downloaded/yes/72242187_nohash_0.wav
no_27c24504_nohash_2.bin,no_27c24504_nohash_2,no,no,0.0000;0.0586;0.0039;0.9375,downloaded/no/27c24504_nohash_2.wav
go_190821dc_nohash_1.bin,go_190821dc_nohash_1,unknown,no,0.0000;0.0430;0.0000;0.9570,downloaded/go/190821dc_nohash_1.wav
yes_db72a474_nohash_0.bin,yes_db72a474_nohash_0,yes,yes,0.0000;0.0039;0.9961;0.0000,downloaded/yes/db72a474_nohash_0.wav
no_40b60ae9_nohash_0.bin,no_40b60ae9_nohash_0,no,no,0.0000;0.0156;0.0000;0.9844,downloaded/no/40b60ae9_nohash_0.wav
yes_35d1b6ee_nohash_2.bin,yes_35d1b6ee_nohash_2,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/35d1b6ee_nohash_2.wav
go_ab46af55_nohash_1.bin,go_ab46af55_nohash_1,unknown,no,0.0000;0.4766;0.0000;0.5234,downloaded/go/ab46af55_nohash_1.wav
_background_noise__dude_miaowing.bin,_background_noise__dude_miaowing,silence,silence,0.9531;0.0273;0.0156;0.0039,downloaded/_background_noise_/dude_miaowing.wav
no_538e1856_nohash_0.bin,no_538e1856_nohash_0,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/538e1856_nohash_0.wav
no_29229c21_nohash_3.bin,no_29229c21_nohash_3,no,no,0.0039;0.1055;0.0078;0.8828,downloaded/no/29229c21_nohash_3.wav
yes_472b8045_nohash_4.bin,yes_472b8045_nohash_4,yes,yes,0.0000;0.0039;0.9922;0.0000,downloaded/yes/472b8045_nohash_4.wav
yes_39afb88e_nohash_0.bin,yes_39afb88e_nohash_0,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/39afb88e_nohash_0.wav
go_56eab10e_nohash_0.bin,go_56eab10e_nohash_0,unknown,no,0.0000;0.0234;0.0000;0.9766,downloaded/go/56eab10e_nohash_0.wav
go_3bdf05d3_nohash_0.bin,go_3bdf05d3_nohash_0,unknown,no,0.0000;0.1992;0.0039;0.7969,downloaded/go/3bdf05d3_nohash_0.wav
yes_bdd22e4d_nohash_3.bin,yes_bdd22e4d_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/bdd22e4d_nohash_3.wav
go_0e5193e6_nohash_0.bin,go_0e5193e6_nohash_0,unknown,unknown,0.0078;0.6250;0.0039;0.3594,downloaded/go/0e5193e6_nohash_0.wav
go_e71a9381_nohash_2.bin,go_e71a9381_nohash_2,unknown,no,0.0000;0.1250;0.0000;0.8711,downloaded/go/e71a9381_nohash_2.wav
no_256c0a05_nohash_0.bin,no_256c0a05_nohash_0,no,no,0.0000;0.0039;0.0000;0.9922,downloaded/no/256c0a05_nohash_0.wav
go_ee1d8d49_nohash_3.bin,go_ee1d8d49_nohash_3,unknown,unknown,0.0000;0.5859;0.0078;0.4062,downloaded/go/ee1d8d49_nohash_3.wav
yes_58df33b5_nohash_1.bin,yes_58df33b5_nohash_1,yes,yes,0.0000;0.0039;0.9922;0.0000,downloaded/yes/58df33b5_nohash_1.wav
yes_de3fe344_nohash_3.bin,yes_de3fe344_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/de3fe344_nohash_3.wav
yes_52162b51_nohash_2.bin,yes_52162b51_nohash_2,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/52162b51_nohash_2.wav
no_6727b579_nohash_0.bin,no_6727b579_nohash_0,no,no,0.0000;0.0039;0.0000;0.9961,downloaded/no/6727b579_nohash_0.wav
yes_5f8097e1_nohash_3.bin,yes_5f8097e1_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/5f8097e1_nohash_3.wav
yes_a9ca1818_nohash_3.bin,yes_a9ca1818_nohash_3,yes,yes,0.0000;0.0000;0.9961;0.0000,downloaded/yes/a9ca1818_nohash_3.wav
go_890cc926_nohash_2.bin,go_890cc926_nohash_2,unknown,no,0.0000;0.0273;0.0156;0.9570,downloaded/go/890cc926_nohash_2.wav
go_bb6d4301_nohash_3.bin,go_bb6d4301_nohash_3,unknown,no,0.0000;0.2148;0.0000;0.7812,downloaded/go/bb6d4301_nohash_3.wav
go_7f581e94_nohash_0.bin,go_7f581e94_nohash_0,unknown,unknown,0.0000;0.6562;0.0000;0.3438,downloaded/go/7f581e94_nohash_0.wav
no_1995cf9e_nohash_0.bin,no_1995cf9e_nohash_0,no,no,0.0000;0.0039;0.0000;0.9961,downloaded/no/1995cf9e_nohash_0.wav
no_3cc595de_nohash_0.bin,no_3cc595de_nohash_0,no,no,0.0000;0.0820;0.2461;0.6719,downloaded/no/3cc595de_nohash_0.wav
no_01648c51_nohash_0.bin,no_01648c51_nohash_0,no,no,0.0000;0.0078;0.0000;0.9922,downloaded/no/01648c51_nohash_0.wav
no_64df20d8_nohash_0.bin,no_64df20d8_nohash_0,no,no,0.0000;0.0312;0.0000;0.9648,downloaded/no/64df20d8_nohash_0.wav
yes_8d9cc260_nohash_0.bin,yes_8d9cc260_nohash_0,yes,yes,0.0000;0.0039;0.9922;0.0000,downloaded/yes/8d9cc260_nohash_0.wav
yes_7be9f58a_nohash_0.bin,yes_7be9f58a_nohash_0,yes,yes,0.0000;0.0312;0.8828;0.0898,downloaded/yes/7be9f58a_nohash_0.wav
